timestamp,open,high,low,close,volume
2023-11-07,400.26,402.04,399.23,401.34,3358578
2023-11-06,400.12,400.733,398.46,400.21,4007105
2023-11-03,397.92,400.85,397.84,399.44,5981435
2023-11-02,391.93,395.9096,391.92,395.78,4752164
2023-11-01,385.09,389.08,384.62,388.4,5549159
2023-10-31,382.35,384.48,380.56,384.17,4523160
2023-10-30,379.91,382.8,378.71,381.86,5795761
2023-10-27,380.53,380.89,375.945,377.32,5638752
2023-10-26,382.63,383.3971,378.15,379.0,6959401
2023-10-25,387.6,387.68,383.12,383.71,5471214
2023-10-24,388.28,390.26,386.55,389.2,4451513
2023-10-23,385.48,389.94,383.85,386.31,5537131
2023-10-20,391.38,391.82,386.84,386.99,7549614
2023-10-19,395.97,397.6,391.135,391.87,6708903
2023-10-18,398.89,399.81,394.22,395.22,7329261
2023-10-17,397.63,402.5,397.3075,400.58,4214609
2023-10-16,398.57,401.6,398.34,400.57,5150941
2023-10-13,399.81,400.96,394.96,396.42,3772219
2023-10-12,401.48,401.8,396.2,398.52,3872929
2023-10-11,400.27,401.09,397.99,400.93,4181784
2023-10-10,397.77,401.68,397.3875,399.24,3289640
2023-10-09,392.8,397.69,392.31,397.19,2959502
2023-10-06,387.69,396.085,386.4104,394.56,4897219
2023-10-05,389.89,390.7889,386.95,389.91,3329091
2023-10-04,387.73,390.85,386.4,390.24,4333740
2023-10-03,390.58,391.93,386.03,387.39,6886663
2023-10-02,391.9,393.7599,389.97,392.67,5886153
2023-09-29,396.62,396.74,391.3,392.7,5766585
2023-09-28,390.87,395.27,390.33,393.64,4065775
2023-09-27,393.84,394.39,389.45,392.85,4837698
2023-09-26,395.72,396.36,391.96,392.76,5734734
2023-09-25,395.76,398.6392,395.37,398.61,3227900
2023-09-22,398.795,400.326,396.555,396.96,7206528
2023-09-21,401.8,402.05,397.69,397.92,4633139
2023-09-20,409.46,409.84,404.33,404.55,4009415
2023-09-19,408.22,408.805,405.71,408.37,3629773
2023-09-18,408.58,410.34,408.16,409.19,3014571
2023-09-15,412.34,412.67,408.48,408.74,4004030
2023-09-14,412.67,414.51,411.42,413.9,3660901
2023-09-13,410.03,411.4,408.99,410.35,2529748
2023-09-12,410.7,412.15,409.29,409.87,7595296
2023-09-11,411.88,412.38,410.29,412.08,3346563
2023-09-08,408.82,410.84,408.49,409.39,4125223
2023-09-07,407.17,409.43,406.855,408.83,2245759
2023-09-06,412.1,412.13,407.83,410.05,3744068
2023-09-05,414.2,414.47,412.77,412.9,4426687
2023-09-01,416.46,416.88,413.21,414.71,3587971
2023-08-31,414.982,416.12,413.66,413.83,4751131
2023-08-30,413.03,415.0292,412.4,414.36,3004516
2023-08-29,406.78,412.98,406.57,412.64,3482664
2023-08-28,406.36,407.44,405.1,406.86,3236711
2023-08-25,403.08,405.8,399.71,404.2,4417835
2023-08-24,408.6,409.079,401.4,401.54,3458791
2023-08-23,403.56,407.67,403.47,406.95,3249964
2023-08-22,405.35,405.4,402.06,402.61,2648051
2023-08-21,402.14,404.39,399.99,403.74,3292434
2023-08-18,398.17,402.02,397.85,401.09,4157667
2023-08-17,405.33,405.58,400.37,400.72,7102504
2023-08-16,406.59,408.11,403.87,403.99,3353653
2023-08-15,410.09,411.7125,406.41,407.0,4686119
2023-08-14,408.56,411.74,408.31,411.72,2772912
2023-08-11,407.95,410.41,407.34,409.41,2918862
2023-08-10,411.8,415.05,408.62,409.79,4588326
2023-08-09,412.66,412.73,408.85,409.55,3145934
2023-08-08,411.76,412.74,409.125,412.29,3780086
2023-08-07,412.29,414.24,411.64,414.08,2597977
2023-08-04,414.15,416.1285,410.03,410.38,5717266
2023-08-03,411.68,414.19,411.09,412.4,3028199
2023-08-02,416.46,416.7,412.88,413.57,4979068
2023-08-01,419.26,420.08,418.55,419.38,3137275
2023-07-31,420.32,420.97,419.05,420.68,3454537
2023-07-28,418.93,420.62,418.16,419.87,2702729
2023-07-27,421.79,422.15,414.92,415.82,4149443
2023-07-26,417.62,419.89,416.58,418.66,6138837
2023-07-25,417.08,419.65,417.0674,418.56,3949308
2023-07-24,416.58,418.1,416.015,417.33,3471126
2023-07-21,417.11,417.3,415.48,415.57,3176713
2023-07-20,417.3,418.16,414.82,415.52,4084997
2023-07-19,418.07,419.37,417.49,418.25,3494916
2023-07-18,413.91,417.93,413.54,417.35,3597284
2023-07-17,412.65,415.2495,412.63,414.21,2968267
2023-07-14,413.94,414.71,412.08,412.77,3680945
2023-07-13,411.54,413.81,411.13,413.1,3273427
2023-07-12,410.19,411.13,408.79,409.76,4246359
2023-07-11,404.77,407.0,403.77,406.56,3181871
2023-07-10,402.63,404.11,402.06,403.97,3362277
2023-07-07,403.03,406.679,402.71,402.89,3673249
2023-07-06,403.78,404.35,401.56,403.83,6040271
2023-07-05,406.01,407.84,406.01,407.15,4234124
2023-07-03,406.92,408.06,406.68,408.06,2372019
2023-06-30,405.4,408.22,405.29,407.28,5173692
2023-06-29,400.6,402.67,400.19,402.51,3914849
2023-06-28,401.35,403.485,400.71,402.55,4320672
2023-06-27,398.8,402.93,398.39,402.37,4302361
2023-06-26,399.04,400.86,397.73,397.96,3250700
2023-06-23,399.33,401.28,398.93,399.61,4215307
2023-06-22,400.28,402.72,399.95,402.63,3141021
2023-06-21,402.31,403.06,400.67,401.17,3423543
2023-06-20,403.49,404.32,401.26,403.38,4246881
2023-06-16,408.69,408.76,404.89,405.25,5141885
